ID,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,type,location,type_numeric
4,0.237288136,0.166666667,0.204819277,0.074433657,0.110837438,0.189189189,0.454545455,0.270375162,0.418604651,0.219298246,0.396694215,6,WHITE,CALIFORNIA,3
5,0.279661017,0.088235294,0.259036145,0.019417476,0.034482759,0.288288288,0.424242424,0.153514446,0.302325581,0.298245614,0.611570248,6,WHITE,CALIFORNIA,3
6,0.186440678,0.205882353,0.15060241,0.022653722,0.0591133,0.261261261,0.363636364,0.035791289,0.279069767,0.184210526,0.859504132,6,WHITE,CALIFORNIA,3
10,0.338983051,0.235294118,0.198795181,0.313915858,0.054187192,0.414414414,0.632996633,0.423027167,0.271317829,0.315789474,0.26446281,6,WHITE,CALIFORNIA,3
11,0.661016949,0.387254902,0.240963855,0.022653722,0.201970443,0.045045045,0.074074074,0.428201811,0.271317829,0.377192982,0.336088154,6,RED,CALIFORNIA,2
12,0.262711864,0.147058824,0.204819277,0.064724919,0.056650246,0.207207207,0.387205387,0.133247089,0.325581395,0.140350877,0.727272727,7,WHITE,CALIFORNIA,3
16,0.559322034,0.294117647,0.277108434,0.045307443,0.233990148,0.045045045,0.013468013,0.410952997,0.310077519,0.377192982,0.628099174,7,RED,CALIFORNIA,2
17,0.305084746,0.215686275,0.295180723,0.242718447,0.113300493,0.432432432,0.612794613,0.443725744,0.620155039,0.315789474,0.280991736,6,WHITE,CALIFORNIA,3
18,0.211864407,0.196078431,0.28313253,0.339805825,0.07635468,0.540540541,0.595959596,0.379905132,0.310077519,0.254385965,0.247933884,6,WHITE,CALIFORNIA,3
19,0.754237288,0.5,0.271084337,0.051779935,0.179802956,0.09009009,0.053872054,0.555843036,0.217054264,0.421052632,0.214876033,6,RED,CALIFORNIA,2
20,0.177966102,0.156862745,0.180722892,0.042071197,0.0591133,0.243243243,0.28956229,0.221647262,0.519379845,0.412280702,0.479338843,7,WHITE,CALIFORNIA,3
21,0.245762712,0.107843137,0.138554217,0.177993528,0.093596059,0.315315315,0.373737374,0.318671841,0.480620155,0.184210526,0.26446281,6,WHITE,CALIFORNIA,3
22,0.279661017,0.039215686,0.180722892,0.077669903,0.022167488,0.126126126,0.104377104,0.126347564,0.23255814,0.263157895,0.644628099,7,WHITE,CALIFORNIA,3
25,0.330508475,0.254901961,0.168674699,0.333333333,0.07635468,0.27027027,0.373737374,0.47606727,0.426356589,0.061403509,0.198347107,6,WHITE,CALIFORNIA,3
26,0.169491525,0.137254902,0.174698795,0.019417476,0.066502463,0.216216216,0.208754209,0.066407934,0.403100775,0.114035088,0.760330579,6,none,CALIFORNIA,1
27,0.457627119,0.617647059,0.138554217,0.177993528,0.081280788,0.126126126,0.292929293,0.331608452,0.131782946,0.105263158,0.347107438,6,WHITE,CALIFORNIA,3
28,0.194915254,0.254901961,0.277108434,0.129449838,0.049261084,0.18018018,0.296296296,0.167744718,0.441860465,0.350877193,0.710743802,6,WHITE,CALIFORNIA,3
30,0.228813559,0.539215686,0.198795181,0.035598706,0.123152709,0.135135135,0.074074074,0.35360069,0.496124031,0.368421053,0.347107438,6,RED,CALIFORNIA,2
31,0.457627119,0.225490196,0.21686747,0.048543689,0.172413793,0.09009009,0.084175084,0.3898232,0.472868217,0.561403509,0.661157025,7,RED,CALIFORNIA,2
33,0.279661017,0.254901961,0.186746988,0.145631068,0.056650246,0.315315315,0.451178451,0.196205261,0.488372093,0.219298246,0.710743802,7,WHITE,CALIFORNIA,3
34,0.254237288,0.382352941,0.048192771,0.048543689,0.13546798,0.153153153,0.107744108,0.363087538,0.449612403,0.377192982,0.26446281,6,RED,CALIFORNIA,2
36,0.296610169,0.12745098,0.180722892,0.330097087,0.068965517,0.153153153,0.356902357,0.42647693,0.527131783,0.245614035,0.26446281,6,WHITE,CALIFORNIA,3
37,0.398305085,0.382352941,0.162650602,0.038834951,0.120689655,0.153153153,0.107744108,0.347994825,0.341085271,0.552631579,0.512396694,6,RED,CALIFORNIA,2
38,0.279661017,0.098039216,0.234939759,0.446601942,0.103448276,0.423423423,0.505050505,0.532988357,0.488372093,0.49122807,0.181818182,5,WHITE,CALIFORNIA,3
39,0.271186441,0.235294118,0.162650602,0.207119741,0.044334975,0.324324324,0.390572391,0.195774041,0.333333333,0.333333333,0.760330579,7,WHITE,CALIFORNIA,3
43,0.101694915,0.245098039,0.096385542,0.025889968,0.098522167,0.081081081,0.306397306,0.197930142,0.589147287,0.192982456,0.446280992,6,WHITE,CALIFORNIA,3
44,0.245762712,0.078431373,0.168674699,0.058252427,0.091133005,0.351351351,0.494949495,0.215178956,0.511627907,0.254385965,0.561983471,7,WHITE,CALIFORNIA,3
46,0.254237288,0.156862745,0.228915663,0.245954693,0.088669951,0.441441441,0.602693603,0.373868047,0.333333333,0.245614035,0.247933884,6,WHITE,CALIFORNIA,3
48,0.237288136,0.215686275,0.15060241,0.236245955,0.066502463,0.18018018,0.397306397,0.28072445,0.263565891,0.140350877,0.462809917,6,WHITE,CALIFORNIA,3
49,0.313559322,0.12745098,0.174698795,0.025889968,0.091133005,0.306306306,0.34006734,0.177662786,0.333333333,0.201754386,0.545454545,6,WHITE,CALIFORNIA,3
50,0.330508475,0.303921569,0.295180723,0.226537217,0.066502463,0.09009009,0.35016835,0.409228116,0.472868217,0.473684211,0.330578512,6,WHITE,CALIFORNIA,3
54,0.372881356,0.215686275,0.265060241,0.378640777,0.083743842,0.459459459,0.498316498,0.319534282,0.248062016,0.096491228,0.661157025,6,WHITE,CALIFORNIA,3
56,0.254237288,0.235294118,0.180722892,0.084142395,0.049261084,0.126126126,0.249158249,0.150927124,0.472868217,0.359649123,0.760330579,7,WHITE,CALIFORNIA,3
57,0.338983051,0.166666667,0.204819277,0.420711974,0.086206897,0.585585586,0.599326599,0.545493747,0.387596899,0.464912281,0.148760331,5,WHITE,CALIFORNIA,3
58,0.220338983,0.225490196,0.240963855,0.177993528,0.07635468,0.405405405,0.548821549,0.35316947,0.333333333,0.210526316,0.214876033,6,none,CALIFORNIA,1
59,0.313559322,0.235294118,0.295180723,0.03236246,0.054187192,0.387387387,0.346801347,0.150495903,0.271317829,0.210526316,0.743801653,6,WHITE,CALIFORNIA,3
60,0.13559322,0.328431373,0.114457831,0.029126214,0.073891626,0.234234234,0.276094276,0.238896076,0.635658915,0.166666667,0.330578512,7,WHITE,CALIFORNIA,3
63,0.186440678,0.490196078,0.120481928,0.055016181,0.162561576,0.126126126,0.148148148,0.326002587,0.666666667,0.394736842,0.743801653,6,RED,CALIFORNIA,2
65,0.118644068,0.392156863,0.024096386,0.029126214,0.110837438,0.162162162,0.336700337,0.241052178,0.635658915,0.350877193,0.694214876,7,RED,CALIFORNIA,2
66,0.262711864,0.107843137,0.168674699,0.074433657,0.110837438,0.288288288,0.313131313,0.228115567,0.341085271,0.157894737,0.462809917,6,WHITE,CALIFORNIA,3
68,0.322033898,0.68627451,0,0.03236246,0.165024631,0.288288288,0.131313131,0.388529539,0.457364341,0.350877193,0.446280992,6,RED,CALIFORNIA,2
69,0.389830508,0.225490196,0.186746988,0.008090615,0.02955665,0.459459459,0.478114478,0.141009056,0.162790698,0.087719298,0.578512397,5,WHITE,CALIFORNIA,3
70,0.296610169,0.254901961,0.180722892,0.019417476,0.118226601,0.216216216,0.562289562,0.331608452,0.418604651,0.254385965,0.181818182,6,WHITE,CALIFORNIA,3
71,0.313559322,0.549019608,0,0.055016181,0.167487685,0.153153153,0.077441077,0.404915912,0.465116279,0.333333333,0.330578512,6,RED,CALIFORNIA,2
72,0.355932203,0.362745098,0.168674699,0.326860841,0.103448276,0.216216216,0.508417508,0.370418284,0.263565891,0.219298246,0.561983471,7,WHITE,CALIFORNIA,3
73,0.228813559,0.176470588,0.162650602,0.394822006,0.086206897,0.612612613,0.703703704,0.413540319,0.348837209,0.184210526,0.330578512,6,WHITE,CALIFORNIA,3
74,0.279661017,0.117647059,0.222891566,0.025889968,0.098522167,0.243243243,0.414141414,0.222078482,0.333333333,0.263157895,0.462809917,5,WHITE,CALIFORNIA,3
75,0.296610169,0.333333333,0.228915663,0.197411003,0.088669951,0.252252252,0.390572391,0.232427771,0.364341085,0.131578947,0.760330579,7,WHITE,CALIFORNIA,3
78,0.186440678,0.215686275,0.198795181,0.045307443,0.081280788,0.27027027,0.407407407,0.109098749,0.465116279,0.175438596,0.743801653,6,WHITE,CALIFORNIA,3
79,0.245762712,0.156862745,0.21686747,0.249190939,0.081280788,0.369369369,0.393939394,0.328589909,0.480620155,0.263157895,0.479338843,6,none,CALIFORNIA,1
80,0.152542373,0.117647059,0.397590361,0.307443366,0.083743842,0.693693694,0.569023569,0.318671841,0.201550388,0.184210526,0.396694215,7,WHITE,CALIFORNIA,3
81,0.186440678,0.049019608,0.21686747,0.029126214,0.10591133,0.198198198,0.222222222,0.113410953,0.294573643,0.245614035,0.578512397,7,WHITE,CALIFORNIA,3
82,0.542372881,0.352941176,0.253012048,0.042071197,0.15270936,0.054054054,0.047138047,0.368693402,0.325581395,0.5,0.512396694,7,RED,CALIFORNIA,2
84,0.262711864,0.107843137,0.192771084,0.233009709,0.081280788,0.261261261,0.417508418,0.321259163,0.527131783,0.149122807,0.41322314,6,WHITE,CALIFORNIA,3
85,0.313559322,0.490196078,0.337349398,0.077669903,0.354679803,0.036036036,0.026936027,0.329883571,0.379844961,0.710526316,0.595041322,6,RED,CALIFORNIA,2
87,0.13559322,0.147058824,0.21686747,0.025889968,0.051724138,0.657657658,0.387205387,0.114273394,0.403100775,0.675438596,0.67768595,7,WHITE,CALIFORNIA,3
88,0.271186441,0.294117647,0.295180723,0.058252427,0.216748768,0.288288288,0.265993266,0.391979301,0.519379845,0.48245614,0.561983471,6,RED,CALIFORNIA,2
90,0.220338983,0.274509804,0.319277108,0.048543689,0.544334975,0.162162162,0.097643098,0.271237602,0.503875969,0.622807018,0.727272727,6,RED,CALIFORNIA,2
91,0.305084746,0.544117647,0.060240964,0.055016181,0.174876847,0.135135135,0.090909091,0.442000862,0.666666667,0.412280702,0.462809917,7,RED,CALIFORNIA,2
92,0.245762712,0.196078431,0.168674699,0.055016181,0.007389163,0.315315315,0.316498316,0.152220785,0.418604651,0.149122807,0.611570248,7,RED,CALIFORNIA,2
94,0.161016949,0.196078431,0.168674699,0.048543689,0.024630542,0.126126126,0.198653199,0.133247089,0.263565891,0.263157895,0.52892562,6,WHITE,CALIFORNIA,3
95,0.177966102,0.205882353,0.15060241,0.411003236,0.142857143,0.63963964,0.518518519,0.435532557,0.472868217,0.280701754,0.380165289,6,RED,CALIFORNIA,2
98,0.262711864,0.176470588,0.162650602,0.113268608,0.054187192,0.171171171,0.249158249,0.163001294,0.310077519,0.149122807,0.578512397,6,WHITE,CALIFORNIA,3
100,0.338983051,0.235294118,0.198795181,0.313915858,0.054187192,0.414414414,0.632996633,0.423027167,0.271317829,0.315789474,0.26446281,6,WHITE,CALIFORNIA,3
101,0.322033898,0.12745098,0.210843373,0.01618123,0.078817734,0.054054054,0.336700337,0.184993532,0.263565891,0.201754386,0.545454545,4,WHITE,CALIFORNIA,3
102,0.220338983,0.176470588,0.144578313,0.184466019,0.07635468,0.234234234,0.397306397,0.137559293,0.387596899,0.236842105,0.760330579,7,WHITE,CALIFORNIA,3
105,0.203389831,0.343137255,0.13253012,0.035598706,0.169950739,0.18018018,0.168350168,0.397585166,0.620155039,0.333333333,0.247933884,6,RED,CALIFORNIA,2
106,0.262711864,0.333333333,0.120481928,0.475728155,0.083743842,0.504504505,0.656565657,0.490297542,0.279069767,0.280701754,0.231404959,5,WHITE,CALIFORNIA,3
110,0.271186441,0.098039216,0.222891566,0.025889968,0.083743842,0.135135135,0.32996633,0.217766279,0.356589147,0.245614035,0.462809917,5,WHITE,CALIFORNIA,3
