"ID","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type","location","type_numeric"
4,6.6,0.25,0.34,3,0.054,22,141,0.99338,3.26,0.47,10.4,6,"white","California",4
5,7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,6,"white","California",4
6,6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6,"white","California",4
10,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6,"white","California",4
11,11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,"red","California",2
12,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7,"white","California",4
16,10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7,"red","California",2
17,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6,"white","California",4
18,6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,6,"white","California",4
19,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,"red","California",2
20,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,"white","California",4
21,6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6,"white","California",4
22,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,"white","California",4
25,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,"white","California",4
26,5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6,"none","California",1
27,9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6,"white","California",4
28,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6,"white","California",4
30,6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6,"red","California",2
31,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,"red","California",2
33,7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7,"white","California",4
34,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,"red","California",2
36,7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6,"white","California",4
37,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,"red","California",2
38,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5,"white","California",4
39,7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7,"white","California",4
43,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,"white","California",4
44,6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7,"white","California",4
46,6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6,"white","California",4
48,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,"white","California",4
49,7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,6,"white","California",4
50,7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6,"white","California",4
54,8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6,"white","California",4
56,6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7,"white","California",4
57,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,"white","California",4
58,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6,"none","California",1
59,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,"white","California",4
60,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,"white","California",4
63,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6,"red","California",2
65,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,"red","California",2
66,6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,6,"white","California",4
68,7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6,"red","California",2
69,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5,"white","California",4
70,7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6,"white","California",4
71,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,"red","California",2
72,8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7,"white","California",4
73,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,"white","California",4
74,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5,"white","California",4
75,7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7,"white","California",4
78,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,6,"white","California",4
79,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6,"none","California",1
80,5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7,"white","California",4
81,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7,"white","California",4
82,10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7,"red","California",2
84,6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6,"white","California",4
85,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6,"red","California",2
87,5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7,"white","California",4
88,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,"red","California",2
90,6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6,"red","California",2
